video_id,key,song_name,artist_name,beef_id,track_category,release_date,collected_at,view_count,comment_count,like_count,channel_title,video_title
_Nb4EHY_2bI,b5_catalog_wayne_05,God Bless Amerika,Lil Wayne,b5,catalog,2013-07-17,2026-07-15T01:51:00.514146+00:00,73094465,45533,505830,LilWayneVEVO,Lil Wayne - God Bless Amerika (Official Music Video)
6ImFf__U6io,b5_catalog_birdman_02,"Dark Shades ft. Lil Wayne, Mack Maine",Birdman,b5,catalog,2012-05-25,2026-07-15T01:51:00.514146+00:00,12794163,7653,80797,BirdmanVEVO,"Birdman - Dark Shades (Explicit) ft. Lil Wayne, Mack Maine"
DTmwGXP2c6Q,b5_catalog_birdman_03,Born Stunna (Explicit Version),Birdman,b5,catalog,2012-06-11,2026-07-15T01:51:00.514146+00:00,12183101,6119,61129,BirdmanVEVO,Birdman - Born Stunna (Explicit Version) ft. Rick Ross
6cOjnTHQLGM,b5_catalog_birdman_04,"Shout Out ft. Gudda Gudda, French Montana",Birdman,b5,catalog,2013-01-18,2026-07-15T01:51:00.514146+00:00,8201195,3233,42077,BirdmanVEVO,"Birdman - Shout Out ft. Gudda Gudda, French Montana"
kFHQzwNMo_Q,b5_catalog_birdman_05,Born Stunna ft. Rick Ross,Birdman,b5,catalog,2012-06-11,2026-07-15T01:51:00.514146+00:00,6316312,1645,23044,BirdmanVEVO,Birdman - Born Stunna ft. Rick Ross
AqaQsL-8I_M,b6_catalog_megan_02,Cry Baby ft. DaBaby,Megan Thee Stallion,b6,catalog,2021-02-04,2026-07-15T01:51:00.514146+00:00,152831375,46044,1769155,Megan Thee Stallion,Megan Thee Stallion - Cry Baby (feat. DaBaby) [Official Video]
K7JrX7PHGBE,b6_catalog_megan_03,Sweetest Pie (with Dua Lipa),Megan Thee Stallion,b6,catalog,2022-03-11,2026-07-15T01:51:00.514146+00:00,97964360,37409,1291399,Megan Thee Stallion,Megan Thee Stallion & Dua Lipa - Sweetest Pie [Official Video]
KynkMn5Hv3Q,b6_catalog_megan_04,Thot Shit,Megan Thee Stallion,b6,catalog,2021-06-11,2026-07-15T01:51:00.514146+00:00,79188914,52571,1380756,Megan Thee Stallion,Megan Thee Stallion - Thot Shit [Official Video]
qQuQ8zDxGh0,b6_catalog_megan_05,Plan B,Megan Thee Stallion,b6,catalog,2022-06-02,2026-07-15T01:51:00.514146+00:00,34680855,18458,577350,Megan Thee Stallion,Megan Thee Stallion - Plan B [Official Video]
yrGR11TDRYM,b6_catalog_nicki_02,Do We Have A Problem? ft. Lil Baby,Nicki Minaj,b6,catalog,2022-02-04,2026-07-15T01:51:00.514146+00:00,40681292,75780,988600,NickiMinajAtVEVO,Nicki Minaj ft. Lil Baby - Do We Have A Problem? (Official Music Video)
_Q7rcUm0Dro,b6_catalog_nicki_03,"Seeing Green ft. Drake, Lil Wayne",Nicki Minaj,b6,catalog,2021-05-14,2026-07-15T01:51:00.514146+00:00,35401590,45844,550673,NickiMinajAtVEVO,"Nicki Minaj, Drake, Lil Wayne - Seeing Green (Official Audio)"
O-M1ITkiptg,b6_catalog_nicki_04,Bussin ft. Lil Baby,Nicki Minaj,b6,catalog,2022-02-11,2026-07-15T01:51:00.514146+00:00,13641167,19722,292735,NickiMinajAtVEVO,"Nicki Minaj, Lil Baby - Bussin (Official Audio)"
9zRe5wnqSi4,b6_catalog_nicki_05,Itty Bitty Piggy,Nicki Minaj,b6,catalog,2021-05-14,2026-07-15T01:51:00.514146+00:00,12492741,8018,214660,NickiMinajAtVEVO,Nicki Minaj - Itty Bitty Piggy (Official Audio)
